id_kab,kab_kota,provinsi
3503,KAB. TRENGGALEK,Jawa Timur
3579,KOTA BATU,Jawa Timur
1311,KAB. SOLOK SELATAN,Sumatera Barat
3214,KAB. PURWAKARTA,Jawa Barat
3402,KAB. BANTUL,Yogyakarta
7106,KAB. MINAHASA UTARA,Sulawesi Utara
7212,KAB. MOROWALI UTARA,Sulawesi Tengah
3526,KAB. BANGKALAN,Jawa Timur
7601,KAB. PASANGKAYU,Sulawesi Barat
1802,KAB. LAMPUNG TENGAH,Lampung
6472,KOTA SAMARINDA,Kalimantan Timur
1604,KAB. LAHAT,Sumatera Selatan
7408,KAB. KOLAKA UTARA,Sulawesi Tenggara
1117,KAB. BENER MERIAH,Aceh
1224,KAB. NIAS UTARA ,Sumatera Utara
7174,KOTA KOTAMOBAGU,Sulawesi Utara
1671,KOTA PALEMBANG,Sumatera Selatan
5272,KOTA BIMA,Nusa Tenggara Barat
1113,KAB. GAYO LUES,Aceh
3522,KAB. BOJONEGORO,Jawa Timur
1376,KOTA PAYAKUMBUH,Sumatera Barat
6409,KAB. PENAJAM PASER UTARA,Kalimantan Timur
